,e1,ev,p,q,e
349,14.391929536493562,-2.892211390519118,108.46890598077735,145.9767179423317,0.7317391545608903
350,14.433992336351212,-2.8980229909461674,108.44680673353434,145.9104202006027,0.731836967367848
351,14.47606197377137,-2.9038140786856887,108.42479209256713,145.84437627770106,0.7319344349336676
352,14.518138425103214,-2.9095847246901583,108.4028617534049,145.77858526021436,0.7320315584525229
353,14.56022166676545,-2.915334999703449,108.38101541155334,145.71304623465963,0.7321283391150768
354,14.60231167524644,-2.9210649742604713,108.35925276253231,145.64775828759656,0.7322247781084751
355,14.644408427104318,-2.92677471868684,108.33757350191254,145.58272050573726,0.7323208766163413
356,14.686511898967073,-2.932464303098572,108.315977325351,145.51793197605264,0.7324166358187709
357,14.72862206753266,-2.9381337974018087,108.29446392862528,145.45339178587548,0.7325120568923273
358,14.770738909569072,-2.9437832712925696,108.27303300766685,145.38909902300023,0.7326071410100373
359,14.81286240191442,-2.9494127942565247,108.2516842585934,145.32505277577985,0.7327018893413875
360,14.854992521476994,-2.9550224355688,108.23041737773994,145.2612521332195,0.7327963030523208
361,14.897129245235327,-2.9606122642938018,108.20923206168916,145.19769618506717,0.7328903833052335
362,14.93927255023824,-2.9661823492850674,108.18812800730063,145.13438402190158,0.7329841312589732
363,14.98142241360488,-2.9717327591851386,108.1671049117392,145.0713147352173,0.7330775480688358
364,15.023578812524773,-2.9772635624254575,108.14616247250243,145.00848741750696,0.7331706348865648
365,15.065741724257833,-2.9827748272262844,108.12530038744707,144.94590116234087,0.7332633928603488
366,15.107911126134379,-2.988266621596638,108.10451835481486,144.88355506444427,0.7333558231348216
367,15.150086995555176,-2.993739013334253,108.08381607325728,144.82144821977155,0.7334479268510606
368,15.192269309991405,-2.9991920700255625,108.06319324185962,144.75957972557856,0.7335397051465872
369,15.234458046984692,-3.0046258590456976,108.04264956016416,144.69794868049217,0.7336311591553661
370,15.27665318414709,-3.0100404475585036,108.02218472819267,144.6365541845777,0.7337222900078062
371,15.318854699161063,-3.0154359025165816,108.00179844646809,144.57539533940394,0.7338130988307608
372,15.361062569779477,-3.0208122906613393,107.98149041603546,144.51447124810605,0.733903586747529
373,15.403276773825569,-3.026169678523066,107.96126033848222,144.4537810154463,0.7339937548778562
374,15.445497289192916,-3.0315081324210227,107.9411079159577,144.39332374787278,0.7340836043379365
375,15.487724093845406,-3.0368277184635457,107.92103285119205,144.3330985535758,0.7341731362404139
376,15.529957165817198,-3.042128502548173,107.90103484751438,144.2731045425428,0.7342623516943843
377,15.572196483212664,-3.047410550361776,107.88111360887038,144.2133408266108,0.7343512518053982
378,15.61444202420635,-3.0526739273807184,107.86126883983924,144.1538065195174,0.734439837675463
379,15.656693767042915,-3.057918698871019,107.84150024565001,144.0945007369497,0.7345281104030459
380,15.698951690037074,-3.063144929888536,107.82180753219731,144.03542259659162,0.7346160710830769
381,15.741215771573533,-3.0683526852791605,107.80219040605654,143.9765712181693,0.7347037208069525
382,15.783485990106911,-3.073542029679027,107.78264857449844,143.917945723495,0.7347910606625383
