e1,ev,p,q,e
15.825,-3.549,118.4833333,163.03,0.7396232
15.928,-3.565,118.53,162.81,0.739892
16.031,-3.581,118.29,162.09,0.7401608
16.133,-3.597,118.3933333,162.04,0.7404296
16.233,-3.611,118.1433333,161.65,0.7406648
16.336,-3.626,117.85,160.77,0.7409168
16.44,-3.641,117.83,160.71,0.7411688
16.541,-3.655,117.88,160.5,0.741404
16.643,-3.669,117.5233333,159.79,0.7416392
16.745,-3.683,117.57,159.57,0.7418744
16.846,-3.696,117.15,159.03,0.7420928
16.95,-3.71,117.0033333,158.98,0.742328
17.051,-3.723,117.1233333,158.59,0.7425464
17.154,-3.736,116.77,157.89,0.7427648
17.257,-3.75,116.57,157.68,0.743
17.36,-3.763,116.8133333,157.3,0.7432184
17.463,-3.775,116.7266667,157.4,0.74342
17.566,-3.789,116.6666667,156.86,0.7436552
17.67,-3.803,116.3333333,156.97,0.7438904
17.771,-3.815,116.4033333,156.43,0.744092
17.873,-3.829,116.3866667,156.38,0.7443272
17.976,-3.841,115.9066667,155.69,0.7445288
18.077,-3.854,116.07,155.79,0.7447472
18.178,-3.865,116.0133333,155.26,0.744932
18.28,-3.877,115.77,154.89,0.7451336
18.383,-3.889,115.6466667,154.52,0.7453352
18.486,-3.901,115.3933333,154.15,0.7455368
18.587,-3.912,115.45,153.93,0.7457216
18.69,-3.923,115.38,153.72,0.7459064
18.792,-3.934,115.38,153.36,0.7460912
18.894,-3.945,115.31,153.15,0.746276
18.997,-3.956,115.1333333,152.62,0.7464608
19.099,-3.967,115.2233333,152.89,0.7466456
19.202,-3.978,115.0466667,152.36,0.7468304
19.304,-3.989,114.9766667,152.15,0.7470152
19.405,-3.999,114.7866667,151.94,0.7471832
19.506,-4.01,114.3,151.59,0.747368
19.61,-4.02,114.5233333,151.54,0.747536
19.712,-4.031,114.5566667,151.64,0.7477208
19.814,-4.041,114.5633333,151.27,0.7478888
19.917,-4.051,114.6666667,151.22,0.7480568
